Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,88120981,11288.428660705076,4915451,836678,1914378,245.2346675830046,85271,14645,
United States of America,Americas,21761186,65743.24,1786773,313516,365886,1105.39,20633,3599,Community transmission
India,South-East Asia,10450284,7572.65,126319,36867,150999,109.42,1564,429,Clusters of cases
Brazil,Americas,8013708,37701.03,313130,52035,201460,947.78,6049,962,Community transmission
Russian Federation,Europe,3379103,23154.94,166466,23309,61381,420.61,3379,470,Clusters of cases
The United Kingdom,Europe,2957476,43565.32,415407,68053,79833,1175.99,5708,1325,Community transmission
France,Europe,2701658,41389.81,105997,19408,67049,1027.2,2662,589,Community transmission
Italy,Europe,2237890,37013.27,108514,17529,77911,1288.6,3290,620,Clusters of cases
Spain,Europe,2025560,43323.06,65376,0,51690,1105.56,436,0,Community transmission
Germany,Europe,1891581,22576.89,136230,24694,39878,475.96,5918,1083,Community transmission
Colombia,Americas,1755568,34502.13,100688,18221,45431,892.85,1936,364,Community transmission
Argentina,Americas,1703352,37688.3,73758,13346,44273,979.58,954,151,Community transmission
Mexico,Americas,1507931,11695.48,70746,14362,132069,1024.32,5562,1038,Community transmission
Turkey,Europe,1493243,17705.23,86726,11479,22450,266.19,1357,186,Community transmission
Poland,Europe,1376389,36367.56,63609,10744,31011,819.39,1953,437,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1280438,15244.59,42964,5924,56100,667.91,662,82,Community transmission
South Africa,Africa,1192570,20107.85,135009,21980,32425,546.72,3956,616,Community transmission
Ukraine,Europe,1110015,25381.19,40498,4846,19668,449.72,937,80,Community transmission
Peru,Americas,1029471,31222.72,12272,2781,38145,1156.9,421,96,Community transmission
Netherlands,Europe,858914,50126.67,54071,8169,12171,710.31,651,89,Community transmission
Czechia,Europe,822716,76824.86,87247,13115,12978,1211.88,1151,178,Community transmission
Indonesia,South-East Asia,818386,2992.01,59913,10046,23947,87.55,1392,194,Community transmission
Romania,Europe,663779,34504.09,27578,4821,16506,858,665,96,Community transmission
Belgium,Europe,660703,57008.15,11148,0,19992,1724.99,317,0,Community transmission
Canada,Americas,644348,17072.37,56071,9214,16707,442.66,966,128,Community transmission
Chile,Americas,637742,33361.34,21840,4361,17037,891.23,313,63,Community transmission
Iraq,Eastern Mediterranean,602331,14974.98,5298,907,12881,320.24,52,4,Community transmission
Bangladesh,South-East Asia,521382,3165.85,6198,692,7756,47.09,157,22,Community transmission
Pakistan,Eastern Mediterranean,499517,2261.36,15155,2007,10598,47.98,340,40,Clusters of cases
Sweden,Europe,489471,48466,34622,7138,9433,934.03,93,0,Community transmission
Philippines,Western Pacific,485797,4433.22,8881,1945,9398,85.76,145,34,Community transmission
Switzerland,Europe,475604,54953.76,23133,3213,7545,871.79,449,71,Community transmission
Israel,Europe,473212,54671.61,47630,7597,3578,413.38,240,32,Community transmission
Portugal,Europe,466709,45770.55,46080,10176,7590,744.36,618,118,Clusters of cases
Morocco,Eastern Mediterranean,451637,12235.98,9496,1416,7709,208.86,257,24,Clusters of cases
Austria,Europe,375664,41710.79,14192,2001,6572,729.7,395,68,Community transmission
Saudi Arabia,Eastern Mediterranean,363692,10446.76,713,110,6286,180.56,47,4,Sporadic cases
Serbia,Europe,356125,51139.73,16128,2218,3513,504.47,263,34,Community transmission
Hungary,Europe,340459,35242.92,13771,2716,10554,1092.51,773,114,Community transmission
Jordan,Eastern Mediterranean,305959,29986.77,9291,796,4009,392.92,132,20,Community transmission
Japan,Western Pacific,280775,2219.98,39821,7621,3996,31.59,448,64,Clusters of cases
Panama,Americas,273037,63279.66,23304,3946,4363,1011.18,299,42,Community transmission
Nepal,South-East Asia,264521,9078.59,3083,362,1912,65.62,42,3,Clusters of cases
Georgia,Europe,238086,59683.14,9334,2058,2750,689.37,178,22,Community transmission
United Arab Emirates,Eastern Mediterranean,227702,23022.52,16061,2998,702,70.98,28,5,Community transmission
Azerbaijan,Europe,223417,22035.02,4376,532,2869,282.96,199,24,Clusters of cases
Ecuador,Americas,220349,12489.28,5836,1201,14177,803.55,118,12,Community transmission
Croatia,Europe,219347,53430.63,7085,1401,4342,1057.67,326,38,Community transmission
Lebanon,Eastern Mediterranean,215553,31580.8,29145,5414,1590,232.95,114,20,Community transmission
Belarus,Europe,208601,22075.76,12378,1805,1498,158.53,65,9,Community transmission
Bulgaria,Europe,208012,29936.48,5472,753,8078,1162.56,474,61,Clusters of cases
Kazakhstan,Europe,206840,11015.78,3960,0,2845,151.52,96,0,Clusters of cases
Slovakia,Europe,205236,37591.48,18992,4072,2836,519.45,586,48,Clusters of cases
Dominican Republic,Americas,180644,16652.42,7679,2106,2424,223.45,8,0,Community transmission
Denmark,Europe,178497,30816.78,12567,1660,1517,261.9,195,30,Community transmission
Costa Rica,Americas,177614,34866.49,7023,1207,2305,452.48,112,19,Community transmission
Bolivia (Plurinational State of),Americas,171154,14662.36,9099,2263,9328,799.11,142,24,Community transmission
Armenia,Europe,161794,54600.31,2056,379,2922,986.08,94,14,Community transmission
Lithuania,Europe,158180,58105.51,12781,1641,2171,797.49,557,52,Community transmission
Tunisia,Eastern Mediterranean,157514,13327.61,15535,2611,5153,436.01,388,45,Community transmission
Kuwait,Eastern Mediterranean,153900,36037.34,2826,427,942,220.58,5,2,Community transmission
Egypt,Eastern Mediterranean,148799,1454.05,7921,989,8142,79.56,401,57,Clusters of cases
Republic of Moldova,Europe,148669,36854.33,3411,375,3122,773.93,118,16,Community transmission
Qatar,Eastern Mediterranean,145672,50562.07,1432,206,246,85.39,1,0,Community transmission
Greece,Europe,143494,13766.98,4047,717,5195,498.41,314,49,Community transmission
Guatemala,Americas,143127,7988.97,4811,1063,4999,279.03,172,27,Community transmission
Slovenia,Europe,138518,66629.21,14175,3973,3141,1510.87,264,97,Clusters of cases
Ireland,Europe,135884,27519.22,42352,8227,2327,471.26,79,20,Community transmission
Malaysia,Western Pacific,133559,4126.52,16186,2451,542,16.75,59,5,Clusters of cases
Oman,Eastern Mediterranean,130070,25470.83,1203,0,1505,294.72,6,0,Community transmission
Myanmar,South-East Asia,130049,2390.18,4433,566,2826,51.94,115,14,Clusters of cases
Ethiopia,Africa,127572,1109.67,3308,345,1974,17.17,51,8,Community transmission
Honduras,Americas,126396,12761.33,3422,839,3266,329.75,106,22,Community transmission
Venezuela (Bolivarian Republic of),Americas,115667,4067.63,2105,345,1056,37.14,28,4,Community transmission
Bosnia and Herzegovina,Europe,114402,34869.95,2259,0,4264,1299.68,178,0,Community transmission
Paraguay,Americas,113994,15982.25,5645,1138,2372,332.56,110,20,Community transmission
Libya,Eastern Mediterranean,104002,15135.73,3258,0,1568,228.2,81,0,Community transmission
Algeria,Africa,101657,2318.23,2047,537,2798,63.81,42,12,Community transmission
Kenya,Africa,97954,1821.68,1496,221,1703,31.67,33,1,Community transmission
China,Western Pacific,97518,66.28,624,131,4798,3.26,7,2,Clusters of cases
Nigeria,Africa,97478,472.87,9968,1544,1342,6.51,53,12,Community transmission
Bahrain,Eastern Mediterranean,95317,56016.93,2133,287,355,208.63,3,1,Clusters of cases
North Macedonia,Europe,85594,41084.2,1851,100,2592,1244.13,82,11,Community transmission
Puerto Rico,Americas,82630,28882.99,4698,563,1616,564.87,90,24,Community transmission
Kyrgyzstan,Europe,82138,12589.75,924,147,1367,209.53,9,2,Clusters of cases
Uzbekistan,Europe,77530,2316.46,348,45,616,18.4,2,0,Clusters of cases
Republic of Korea,Western Pacific,68664,1339.28,5421,665,1125,21.94,163,25,Clusters of cases
Albania,Europe,62378,21675.61,3655,673,1230,427.41,44,7,Clusters of cases
Singapore,Western Pacific,58865,10061.8,203,29,29,4.96,0,0,Sporadic cases
Ghana,Africa,55461,1784.86,690,0,336,10.81,1,0,Community transmission
Norway,Europe,53792,9922.45,5514,825,471,86.88,35,4,Community transmission
Afghanistan,Eastern Mediterranean,53489,1374.04,780,89,2277,58.49,56,13,Clusters of cases
Kosovo[1],Europe,52900,28435.04,1441,0,1353,727.27,27,0,Community transmission
Montenegro,Europe,51610,82172.89,2431,0,718,1143.19,34,0,Clusters of cases
El Salvador,Americas,48574,7488.82,2332,319,1408,217.08,57,10,Community transmission
Sri Lanka,South-East Asia,47840,2234.13,3469,535,229,10.69,18,7,Clusters of cases
Latvia,Europe,47782,25332.44,6167,1237,801,424.66,157,11,Community transmission
Luxembourg,Europe,47740,76264.66,927,149,527,841.88,26,6,Community transmission
Finland,Europe,38068,6870.59,1665,296,586,105.76,25,2,Community transmission
Uganda,Africa,37296,815.37,2080,222,300,6.56,49,3,Community transmission
Estonia,Europe,33089,24943.93,4300,552,278,209.57,37,8,Clusters of cases
Australia,Western Pacific,28582,1120.87,120,11,909,35.65,0,0,Clusters of cases
Namibia,Africa,27255,10726.49,3314,573,240,94.45,35,0,Community transmission
Cameroon,Africa,26848,1011.38,0,0,448,16.88,0,0,Community transmission
Cyprus,Europe,26674,22092.85,3856,466,141,116.78,14,1,Clusters of cases
Zambia,Africa,25326,1377.61,4601,1029,441,23.99,53,18,Community transmission
Uruguay,Americas,24339,7006.59,4586,532,240,69.09,47,9,Community transmission
Sudan,Eastern Mediterranean,23316,531.73,0,0,1468,33.48,0,0,Community transmission
Côte d’Ivoire,Africa,23173,878.49,923,318,138,5.23,1,0,Community transmission
Senegal,Africa,20672,1234.6,1532,296,446,26.64,36,8,Community transmission
Mozambique,Africa,20482,655.31,1840,521,181,5.79,15,5,Community transmission
Zimbabwe,Africa,19660,1322.75,5793,985,468,31.49,105,22,Community transmission
Democratic Republic of the Congo,Africa,18736,209.2,1362,251,610,6.81,19,0,Community transmission
Angola,Africa,18066,549.68,513,92,415,12.63,10,2,Community transmission
Madagascar,Africa,17767,641.62,53,0,262,9.46,1,0,Community transmission
French Polynesia,Western Pacific,17241,61375.97,315,0,122,434.31,8,0,Sporadic cases
Botswana,Africa,16051,6825.49,2026,611,48,20.41,8,3,Community transmission
Mauritania,Africa,15214,3272.07,1572,0,378,81.3,54,0,Community transmission
Malta,Europe,14212,32187.13,1303,245,232,525.43,13,2,Clusters of cases
Cuba,Americas,14188,1252.62,1963,365,148,13.07,2,0,Clusters of cases
French Guiana,Americas,14113,47250.92,840,143,74,247.76,3,0,Community transmission
Maldives,South-East Asia,14065,26020.08,231,25,49,90.65,1,0,Clusters of cases
Guinea,Africa,13904,1058.72,182,42,81,6.17,0,0,Community transmission
Tajikistan,Europe,13686,1434.95,15,0,91,9.54,0,0,Pending
Jamaica,Americas,13455,4543.82,524,44,311,105.03,8,4,Community transmission
Syrian Arab Republic,Eastern Mediterranean,12274,701.35,658,95,768,43.88,45,5,Community transmission
Cabo Verde,Africa,12237,22009.51,397,91,114,205.04,1,1,Community transmission
Belize,Americas,11202,28172.06,395,50,271,681.54,22,4,Community transmission
Eswatini,Africa,10973,9458.15,1615,200,279,240.48,73,18,Community transmission
Thailand,South-East Asia,10298,147.54,2919,457,67,0.96,3,0,Clusters of cases
Haiti,Americas,10241,898.13,164,0,237,20.78,1,0,Community transmission
Gabon,Africa,9694,4355.42,123,53,66,29.65,2,0,Community transmission
Réunion,Africa,9247,10328.24,210,74,42,46.91,0,0,Clusters of cases
Rwanda,Africa,9058,699.34,675,0,112,8.65,20,0,Clusters of cases
Guadeloupe,Americas,8702,21748.26,82,0,155,387.38,0,0,Community transmission
Andorra,Europe,8489,109868.63,372,141,84,1087.17,0,0,Community transmission
Bahamas,Americas,7969,20264.77,70,0,175,445.02,4,0,Clusters of cases
Malawi,Africa,7925,414.27,1342,314,208,10.87,19,5,Community transmission
Burkina Faso,Africa,7866,376.3,1159,153,89,4.26,4,0,Community transmission
Mali,Africa,7427,366.75,337,32,286,14.12,17,1,Community transmission
Trinidad and Tobago,Americas,7219,5158.32,61,9,127,90.75,0,0,Community transmission
Guam,Western Pacific,7218,42767,70,5,124,734.71,1,0,Clusters of cases
Congo,Africa,7160,1297.55,960,0,100,18.12,0,0,Community transmission
Suriname,Americas,6854,11683.64,577,104,131,223.31,8,1,Clusters of cases
Guyana,Americas,6469,8224.5,118,0,167,212.32,3,0,Clusters of cases
Mayotte,Africa,6232,22843.32,342,187,56,205.27,1,0,Clusters of cases
Martinique,Americas,6117,16300.48,26,0,43,114.59,0,0,Community transmission
Aruba,Americas,5883,55101.81,441,0,50,468.31,1,0,Community transmission
Iceland,Europe,5867,17193.03,113,22,29,84.98,0,0,Community transmission
Djibouti,Eastern Mediterranean,5866,5937.25,25,1,61,61.74,0,0,Clusters of cases
Equatorial Guinea,Africa,5289,3769.82,12,3,86,61.3,0,0,Community transmission
Central African Republic,Africa,4969,1028.83,6,0,63,13.04,0,0,Community transmission
Nicaragua,Americas,4867,734.69,38,0,166,25.06,1,0,Community transmission
Somalia,Eastern Mediterranean,4726,297.36,12,0,130,8.18,0,0,Community transmission
Curaçao,Americas,4405,26844.53,175,0,18,109.69,4,0,Community transmission
Togo,Africa,3845,464.44,212,38,72,8.7,4,2,Community transmission
Gambia,Africa,3841,1589.38,41,3,125,51.72,1,0,Community transmission
South Sudan,Africa,3604,321.97,46,0,63,5.63,0,0,Community transmission
Niger,Africa,3322,137.24,114,0,104,4.3,2,0,Community transmission
Benin,Africa,3304,272.54,53,0,44,3.63,0,0,Community transmission
Gibraltar,Europe,2928,86907.48,888,130,11,326.5,4,0,Clusters of cases
Jersey,Europe,2908,26727.94,148,16,56,514.71,12,3,Community transmission
Sierra Leone,Africa,2782,348.75,222,25,77,9.65,1,0,Community transmission
San Marino,Europe,2628,77435.32,200,45,64,1885.79,5,0,Community transmission
Lesotho,Africa,2577,1202.94,0,0,50,23.34,0,0,Community transmission
Guinea-Bissau,Africa,2447,1243.39,0,0,45,22.87,0,0,Community transmission
Chad,Africa,2419,147.27,306,61,106,6.45,2,1,Community transmission
Liechtenstein,Europe,2379,62380.37,158,7,38,996.41,5,4,Sporadic cases
United States Virgin Islands,Americas,2143,20521.91,107,13,24,229.83,1,0,Community transmission
Yemen,Eastern Mediterranean,2108,70.68,3,0,611,20.49,0,0,Sporadic cases
New Zealand,Western Pacific,1863,386.34,38,31,25,5.18,0,0,Clusters of cases
Liberia,Africa,1800,355.89,0,0,83,16.41,0,0,Community transmission
Eritrea,Africa,1556,438.75,236,111,6,1.69,3,3,Sporadic cases
Sint Maarten,Americas,1531,35702.63,97,0,27,629.63,0,0,Community transmission
Viet Nam,Western Pacific,1513,15.54,31,1,35,0.36,0,0,Clusters of cases
Mongolia,Western Pacific,1408,429.49,166,13,0,0,0,0,Clusters of cases
Sao Tome and Principe,Africa,1054,4809.29,40,19,17,77.57,0,0,Community transmission
Monaco,Europe,1041,26526.35,156,23,5,127.41,2,1,Sporadic cases
Saint Martin,Americas,1002,25918.93,7,0,12,310.41,0,0,Community transmission
Turks and Caicos Islands,Americas,965,24923.81,57,9,6,154.97,0,0,Clusters of cases
Burundi,Africa,885,74.43,63,0,2,0.17,0,0,Community transmission
Comoros,Africa,864,993.56,99,0,13,14.95,4,0,Community transmission
Papua New Guinea,Western Pacific,811,90.64,31,0,9,1.01,0,0,Community transmission
Bhutan,South-East Asia,810,1049.76,100,39,1,1.3,1,0,Clusters of cases
Barbados,Americas,808,2811.66,413,28,7,24.36,0,0,Clusters of cases
Other,Other,745,,0,0,13,,0,0,Not applicable
Bermuda,Americas,646,10373.68,42,5,12,192.7,2,0,Clusters of cases
Faroe Islands,Europe,644,13179.17,34,1,1,20.46,1,0,Sporadic cases
Mauritius,Africa,539,423.82,12,0,10,7.86,0,0,Clusters of cases
United Republic of Tanzania,Africa,509,8.52,0,0,21,0.35,0,0,Community transmission
Seychelles,Africa,448,4555.3,181,30,1,10.17,1,0,Sporadic cases
Saint Lucia,Americas,395,2151.1,42,12,5,27.23,0,0,Sporadic cases
Cambodia,Western Pacific,391,23.39,10,4,0,0,0,0,Sporadic cases
Isle of Man,Europe,391,4598.27,11,2,25,294.01,0,0,No cases
Cayman Islands,Americas,359,5462.57,21,0,2,30.43,0,0,Sporadic cases
Guernsey,Europe,302,4778.78,4,0,13,205.71,0,0,Community transmission
Bonaire,Americas,254,12144.39,89,0,3,143.44,0,0,Sporadic cases
Saint Vincent and the Grenadines,Americas,204,1838.83,82,0,0,0,0,0,Sporadic cases
Saint Barthélemy,Americas,191,19322.21,1,0,0,0,0,0,Sporadic cases
Brunei Darussalam,Western Pacific,173,395.45,16,0,3,6.86,0,0,Sporadic cases
Antigua and Barbuda,Americas,169,1725.74,10,2,5,51.06,0,0,Sporadic cases
Grenada,Americas,135,1199.75,5,4,1,8.89,0,0,Sporadic cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,125,2171.76,3,0,2,34.75,0,0,Pending
British Virgin Islands,Americas,114,3770.22,21,0,1,33.07,0,0,Clusters of cases
Dominica,Americas,106,1472.41,10,0,0,0,0,0,Clusters of cases
Fiji,Western Pacific,53,59.12,4,0,2,2.23,0,0,Sporadic cases
Timor-Leste,South-East Asia,49,37.16,5,0,0,0,0,0,Sporadic cases
Lao People's Democratic Republic,Western Pacific,41,5.64,0,0,0,0,0,0,Sporadic cases
New Caledonia,Western Pacific,40,140.11,0,0,0,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,34,639.19,1,0,0,0,0,0,Sporadic cases
Falkland Islands (Malvinas),Americas,29,8326.16,0,0,0,0,0,0,No cases
Greenland,Europe,29,510.82,2,1,0,0,0,0,No cases
Holy See,Europe,26,32138.44,0,0,0,0,0,0,Sporadic cases
Sint Eustatius,Americas,19,6052.88,0,0,0,0,0,0,Sporadic cases
Solomon Islands,Western Pacific,17,24.75,0,0,0,0,0,0,No cases
Saint Pierre and Miquelon,Americas,16,2761,0,0,0,0,0,0,Sporadic cases
Anguilla,Americas,15,999.87,0,0,0,0,0,0,Sporadic cases
Montserrat,Americas,13,2600.52,0,0,1,200.04,0,0,No cases
Saba,Americas,5,2586.65,0,0,0,0,0,0,No cases
Marshall Islands,Western Pacific,4,67.57,0,0,0,0,0,0,No cases
Wallis and Futuna,Western Pacific,4,355.68,0,0,0,0,0,0,Sporadic cases
Micronesia (Federated States of),Western Pacific,1,8.69,1,1,0,0,0,0,No cases
Vanuatu,Western Pacific,1,3.26,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,No cases
Saint Helena,Africa,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,No cases
